Date,Show_name,Potential_Gross,Difference,Average_ticket,Seats_Sold,Seats_in_theater,Previews,%cap,diff_cap
2023-03-26,The Thanksgiving Play,87401.0,0.00,55.78,1567.0,581.0,0.0,89.9,0.0
2023-03-26,Wicked,1878920.0,-159272.00,126.50,14853.0,1867.0,8.0,99.47,-0.37
2023-04-02,& Juliet,1178967.8,16566.90,150.03,7858.0,1026.0,8.0,95.74,-0.14
2023-04-02,Aladdin,1491893.0,134543.10,108.89,13701.0,1727.0,8.0,99.17,3.02
2023-04-02,Bad Cinderella,631889.88,-2039.27,70.38,8978.0,1398.0,8.0,80.28,-10.79
2023-04-02,A Beautiful Noise The Neil Diamond Musical,884497.8,-77969.34,134.50,6576.0,1152.0,8.0,71.35,-4.76
2023-04-02,The Book of Mormon,1058590.94,23702.04,125.43,8440.0,1066.0,8.0,98.97,1.02
2023-04-02,Camelot,890710.0,31083.50,111.14,8014.0,1047.0,0.0,95.68,4.11
2023-04-02,Chicago,781964.44,-144333.15,96.22,8127.0,1080.0,8.0,94.06,-5.86
2023-04-02,Dancin',581412.3,-65531.60,98.76,5887.0,989.0,8.0,74.41,-3.21
2023-04-02,A Doll's House,867098.0,-18382.00,118.60,7311.0,946.0,8.0,96.6,-0.97
2023-04-02,Fat Ham,368246.0,151768.00,67.92,5422.0,704.0,0.0,96.27,0.13
2023-04-02,Funny Girl,1814511.25,169791.05,198.70,9132.0,1219.0,8.0,93.64,8.84
2023-04-02,Hadestown,900059.75,48385.00,122.04,7375.0,918.0,8.0,100.42,0.68
2023-04-02,Hamilton,1992316.0,76536.50,186.11,10705.0,1324.0,8.0,101.07,0.05
2023-04-02,Harry Potter and the Cursed Child,1431245.4,22934.95,119.48,11979.0,1622.0,8.0,92.32,0.34
2023-04-02,Kimberly Akimbo,485012.45,-42275.90,86.47,5609.0,773.0,8.0,90.7,-1.76
2023-04-02,Leopoldstadt,494240.55,-37899.85,100.64,4911.0,1075.0,8.0,57.1,-3.85
2023-04-02,Life of Pi,500067.84,53716.93,67.86,7369.0,990.0,5.0,93.04,-1.22
2023-04-02,The Lion King,2263788.0,132963.00,168.81,13410.0,1696.0,8.0,98.84,0.32
2023-04-02,MJ The Musical,1771676.0,67904.50,159.75,11090.0,1387.0,8.0,99.95,-0.19
2023-04-02,Moulin Rouge! The Musical,1561623.71,79338.75,149.77,10427.0,1300.0,8.0,100.26,0.62
2023-04-02,New York New York,870813.75,452212.50,85.02,10242.0,1643.0,0.0,89.05,-11.13
2023-04-02,Parade,1158492.9,31420.00,142.92,8106.0,1020.0,8.0,99.34,-0.5
