,Title,Weekly Gross,Gross Difference,Average Ticket Price,Seats Sold,Performance Count,Percent Capacity,Capacity Difference,Week Ending,Theater,Potential Gross,Top Ticket Price,Theater Capacity,Preview Count
70,The Inheritance,"$378,046.50","$32,062.50",$83.99,"4,501",8,53.69%,1.54%,2020-02-23,Ethel Barrymore Theatre,"$1,137,638.00",$347.00,"1,048",0
71,Jagged Little Pill,"$963,612.30","-$78,800.40",$106.78,"9,024",8,100.27%,0.15%,2020-02-23,Broadhurst Theatre,"$1,241,400.00",$247.00,"1,125",0
72,The Lion King,"$1,841,117.00","$167,625.00",$140.55,"13,099",8,96.54%,2.32%,2020-02-23,Minskoff Theatre,"$2,026,704.00",$225.00,"1,696",0
73,Mean Girls,"$985,109.30","-$22,187.80",$101.19,"9,735",8,99.34%,3.71%,2020-02-23,August Wilson Theatre,"$1,176,000.00",$249.50,"1,225",0
74,Moulin Rouge! The Musical,"$1,673,382.00","-$237,995.50",$160.49,"10,427",8,100.11%,-0.40%,2020-02-23,Al Hirschfeld Theatre,"$1,754,340.00",$399.00,"1,302",0
75,My Name is Lucy Barton,"$564,433.40","-$14,436.60",$126.64,"4,457",7,98.56%,-0.05%,2020-02-23,Samuel J. Friedman Theatre,"$754,974.00",$299.00,646,0
76,The Phantom of the Opera,"$840,337.50","-$131,598.30",$78.63,"10,687",8,83.23%,0.94%,2020-02-23,Majestic Theatre,"$1,358,986.00",$247.00,"1,605",0
77,SIX: The Musical,"$1,000,854.60","$334,835.60",$121.73,"8,222",0,100.07%,-1.10%,2020-02-23,Lena Horne Theatre,"$1,052,302.00",$297.00,"1,027",8
78,A Soldier's Play,"$460,368.50","$12,944.30",$81.25,"5,666",8,98.23%,5.94%,2020-02-23,American Airlines Theatre,"$655,256.00",$297.00,721,0
79,Tina: The Tina Turner Musical,"$1,470,935.00","-$134,858.00",$132.10,"11,135",8,94.17%,0.01%,2020-02-23,Lunt-Fontanne Theatre,"$1,566,688.00",$297.00,"1,478",0
80,To Kill A Mockingbird,"$1,417,185.10","-$143,579.40",$123.28,"11,496",8,100.14%,1.25%,2020-02-23,Sam S. Shubert Theatre,"$1,723,600.00",$423.00,"1,435",0
81,West Side Story,"$1,454,228.54","-$69,975.46",$104.47,"13,920",5,100.00%,0.00%,2020-02-23,Broadway Theatre,"$1,722,464.00",$373.00,"1,740",3
82,Wicked,"$1,602,999.00","$74,104.00",$110.67,"14,485",8,97.01%,2.08%,2020-02-23,Gershwin Theatre,"$1,779,845.00",$250.00,"1,867",0
83,Ain't Too Proud—The Life and Times of the Temptations,"$1,339,322.02","$139,446.74",$124.05,"10,797",8,94.78%,4.55%,2020-02-16,Imperial Theatre,"$1,549,294.00",$297.00,"1,424",0
84,Aladdin,"$1,297,242.50","$220,927.04",$95.53,"13,579",8,98.28%,3.64%,2020-02-16,New Amsterdam Theatre,"$1,512,251.00",$227.50,"1,727",0
85,Beetlejuice,"$1,337,688.94","$293,620.92",$116.95,"11,438",8,95.76%,-0.46%,2020-02-16,Winter Garden Theatre,"$1,320,148.00",$323.00,"1,493",0
86,The Book of Mormon,"$1,170,197.55","$202,600.00",$138.55,"8,446",8,100.84%,4.18%,2020-02-16,Eugene O'Neill Theatre,"$1,190,502.00",$477.50,"1,047",0
87,Chicago,"$722,161.55","$97,696.55",$94.83,"7,615",8,88.14%,0.58%,2020-02-16,Ambassador Theatre,"$960,444.00",$207.00,"1,080",0
88,Come From Away,"$961,505.00","$134,883.89",$113.07,"8,504",8,101.63%,0.40%,2020-02-16,Gerald Schoenfeld Theatre,"$1,133,892.00",$297.00,"1,046",0
